Gene	Alias
AKAP3	FSP95,SOB1,CT82,AKAP110
HSF1	HSTF1
ST8SIA4	SIAT8D,PST1,PST
MEIS3	MRG2,DKFZp547H236
TECPR1	FLJ23419,FLJ90593,DKFZP434B0335,KIAA1358
CEP120	FLJ36090,CCDC100
WDR89	C14orf150,MGC9907
MEMO1	MEMO,CGI-27,C2orf4
ARGLU1	FLJ10154
GOLM1	FLJ23608,GP73,GOLPH2,bA379P1.3,C9orf155
AVP	ADH,ARVP
PCK1	PEPCK-C
MAP3K7	MEKK7,TAK1
FKBP1C	bA184C23.2
CNKSR3	MAGI1,FLJ31349
AP2S1	CLAPS2,HHC3,FBH3,FBHOk
APBA3	mint3,X11L2
PCP4L1	IQM1
CHCHD1	FLJ25854,C10orf34
ESF1	C20orf6,bA526K24.1
ARPIN	C15orf38,MGC61550
DUSP7	PYST2,MKP-X
CDC7	HsCdc7,huCdc7,Hsk1,CDC7L1
FOXG1	FKHL1,FKHL3,BF1,FOXG1B,QIN,FKHL2,HFK3,FOXG1A,FKH2,FKHL4,HBF-3,HFK2,FOXG1C,HFK1
MAGEA1	MAGE1,MGC9326,CT1.1
TGFBRAP1	VPS3,TRAP-1,TRAP1
LEPREL1	P3H2
SLC13A2	NaDC-1
SLC27A3	MGC4365,FATP3,ACSVL3
HKDC1	FLJ37767,FLJ22761
GPC4	K-glypican
TMEM196	MGC42090
ACAP2	CNT-B2,CENTB2,KIAA0041
HELLS	PASG,SMARCA6,LSH,Nbla10143
POLD3	P68,PPP1R128,KIAA0039,P66
KRTAP9-4	KAP9.4
IL36A	MGC129552,FIL1,IL1(EPSILON),IL1F6,FIL1E,IL-1F6,MGC129553
SLC25A27	UCP4,FLJ33552
CCDC59	BR22,HSPC128,TAP26
MORC1	ZCW6,MORC,CT33
NDUFA5	NUFM,UQOR13,CI-13KD-B,CI-13kB,B13
SECTM1	K12
AWAT2	MFAT,DGAT2L4
PLCB2	FLJ38135
PAOX	PAO
ZNF579	FLJ35453
USP15	KIAA0529,UNPH4
ATR	MEC1,SCKL,FRP1,SCKL1
SH2B1	FLJ30542,SH2B
KPNB1	MGC2156,MGC2155,NTF97,IPO1,MGC2157,IMB1,IPOB,Impnb
ZMYM1	FLJ23151,MYM
SLC25A38	FLJ20551
ANK2	CFAP87,LQT4,FAP87
HGS	Vps27,Hrs,ZFYVE8
RMND5A	p44CTLH,GID2,RMD5,GID2A,FLJ13910
RGS4	SCZD9
KDSR	DHSR,FVT1,SDR35C1
CX3CR1	CMKDR1,GPR13,CCRL1,CMKBRL1,V28
AGAP2	CENTG1
CD22	SIGLEC2,SIGLEC-2
EFNA4	EPLG4,LERK4
VANGL1	STB2
ZNF431	KIAA1969
MYO1G	HA-2
KPTN	2E4
CFLAR	CASP8AP1,I-FLICE,MRIT,c-FLIP,cFLIP,FLAME,FLIP,CLARP,Casper,CASH
ALPI	IAP
PTDSS2	PSS2
ATP6AP2	APT6M8-9,RENR,ATP6IP2,ATP6M8-9,M8-9,PRR
ZNF350	ZBRK1,ZFQR
PSG11	PSG14,PSG13,MGC22484
COL2A1	STL1,SEDC,AOM
NLRC3	FLJ00348,CLR16.2,NOD3
HIST1H2BF	H2BFG,H2BC7
RIF1	FLJ10599,FLJ12870
KBTBD6	DKFZp547E1912
ATP10A	ATPVA,ATP10C,KIAA0566,ATPVC
LRIT1	FIGLER9,DKFZP434K091,PAL,LRRC21
P4HA2	C-P4Halpha(II)
DCAF12L1	WDR40B,KIAA1892L
ZMYND8	RACK7,PRKCBP1
MND1	GAJ
AFAP1L1	FLJ36748
PIK3CD	p110D
ASB15	FLJ43370
CLNK	MIST
RIPK4	ANKRD3,PKK,ANKK2,RIP4,DIK
EXOC7	BLOM4,EXO70,KIAA1067,Exo70p,YJL085W
KCNAB3	AKR6A9,KCNA3B
C14orf6	RNASE11
KCTD4	bA321C24.3
ADAM18	ADAM27,tMDCIII
NISCH	KIAA0975,I-1,IRAS
CD79A	IGA,MB-1
GUCY1A3	GUC1A3,GUCY1A1
SAMD11	MGC45873
DGKE	DAGK6,DGK
KHNYN	KIAA0323
NINJ1	NIN1
NDEL1	NDE1L1,MITAP1,NUDEL,NDE2
PDP1	PDH,PDP,PPM2A,PPM2C
TM4SF18	L6D
KRBOX4	FLJ20344,ZNF673
PROZ	PZ
UBL4A	DXS254E,GET5,MDY2,TMA24,UBL4,GDX
TMPRSS12	CT151,MGC57341
FAM168A	TCRP1,KIAA0280
RHCG	PDRC2,RHGK,SLC42A3,C15orf6
XPO4	KIAA1721,FLJ13046
HTRA1	PRSS11,ARMD7,IGFBP5-protease,HtrA
PVRL1	ED4,NECTIN1,HVEC
PSMA2	HC3,PMSA2,MU
ZDHHC15	MRX91,FLJ31812,DHHC15
ART1	ART2,CD296,ARTC1
TEX13B	TGC3B,TSGA5
PDE4D	DPDE3
NR2C2AP	TRA16
HRAS	HRAS1
STX10	hsyn10,SYN10
CMTR1	MTr1,ISG95,FTSJD2,KIAA0082
SLA2	FLJ21992,C20orf156,SLAP-2
VHL	VHL1
KIAA1279	KIF1BP,KIFBP
JADE3	KIAA0215,JADE-3,PHF16
HIGD2B	HIGD2BP
TIMM22	TEX4,TIM22
STKLD1	C9orf96,SGK071,MGC43306
TERF1	TRBF1,PIN2,TRF1,TRF
POSTN	OSF-2,PN,periostin
ZNF778	FLJ31875
SFTPA1	SP-A,SFTP1,SP-A1,COLEC4
FAM174B	MGC102891,LOC400451
SLC38A7	FLJ10815
HNRNPA1	HNRPA1,ALS20,hnRNP-A1
LY6D	E48
RBBP8	RIM,COM1,SCKL2,CtIP
RARRES2	HP10433,TIG2
ZNF212	C2H2-150
PDE1C	Hcam3
NR2E1	TLX,XTLL,TLL
TSPYL4	dJ486I3.2,KIAA0721
MRGPRG	mrgG,GPR169
TP53I3	PIG3
BAD	BBC2,BCL2L8
HAUS8	MGC20533,NY-SAR-48,HICE1
GLRX2	GRX2,bA101E13.1
ANKZF1	ZNF744,Vms1,FLJ10415
EMC10	C19orf63,INM02,HSM1,HSS1
KLF13	BTEB3,FKLF-2,RFLAT-1,NSLP1
KCNU1	Kcnma3,KCa5.1,KCNMC1,Slo3
STC1	STC
AJAP1	SHREW-1,SHREW1,MOT8
C4orf19	FLJ11017
KCP	CRIM2,FLJ33365,NET67
GIGYF2	GYF2,KIAA0642,PARK11,PERQ3,PERQ2,TNRC15
NEURL4	KIAA1787
KNDC1	bB439H18.3,C10orf23,v-KIND,FLJ25027,RASGEF2,Very-KIND,KIAA1768
MIR1199	hsa-mir-1199
NOP58	NOP5,HSPC120
OBP2A	hOBPIIa,LCN13,OBP
LIPN	LIPL4,bA186O14.3
TAS2R60	T2R60
ZNF697	MGC45731
SLC30A4	ZNT4
ANKMY2	DKFZP564O043,ZMYND20
FAM188A	C10orf97,MINDY3
S100A12	CAAF1,CAGC,ENRAGE,MRP6,p6,CGRP
NKRF	NRF,ITBA4
CSE1L	CSE1,CAS,XPO2
CXXC5	HSPC195,RINF,WID
ACOT8	PTE1,hACTE-III,hTE,NAP1,PTE-2
FSCN2	RP30,RFSN
CORO6	FLJ14871
TRIM71	LIN41,LIN-41
OR4B1	OST208
LTBR	TNF-R-III,TNFRSF3,TNFCR,TNFR2-RP,D12S370,TNFR-RP
TNNC2	CFAP85,FAP85
SH3BP1	ARHGAP43
RNF208	DKFZP761H1710
GTF3C5	TFIIIC63,TFiiiC2-63,TFIIICepsilon
SUN2	UNC84B
KCTD2	KIAA0176
TMEM72	KSP37,bA285G1.3,C10orf127
TMEM209	FLJ14803,NET31
ZNF772	DKFZp686I1569
PHF6	BFLS,CENP-31,MGC14797,KIAA1823,BORJ
CRHR2	CRF-RB,HM-CRF,CRF2
MAP3K13	MEKK13,LZK
RAB42	MGC45806
ARL8B	ARL10C,Gie1,FLJ10702
RPE65	BCO3,rd12,LCA2,RP20
FHL5	dJ393D12.2,FLJ33049,ACT
FAM212B	INKA2,C1orf183
SLC7A14	PPP1R142,KIAA1613
PCF11	KIAA0824
CIRH1A	UTP4
ADCY10	SAC,Sacy,RP1-313L4.2,HCA2,SACI
CALM2	PHKD,CAMII
CCDC101	SGF29
SLC25A15	ORC1,ORNT1,HHH,D13S327
NSUN2	FLJ20303,Misu,TRM4,MRT5
RASL12	RIS
CMTM2	CKLFSF2,FLJ25732,MGC39436
AADACL2	MGC72001
TEX28	fTEX,CXorf2
KCTD19	FLJ40162
CCNT1	CYCT1,HIVE1,CCNT
GCGR	GGR
HTR5A	5-HT5A
NCAM2	NCAM21,MGC51008
AQP4	MIWC
ZFP36L2	ERF2,RNF162C,TIS11D,BRF2
G6PC2	IGRP
ACADM	MCADH,ACAD1,MCAD
SCRG1	SCRG-1
DHPS	MIG13
BCL11A	BCL11A-L,EVI9,CTIP1,BCL11A-S,ZNF856,BCL11A-XL,HBFQTL5
RASGRP3	GRP3,KIAA0846,CalDAG-GEFIII
NDUFB9	B22,LYRM3,UQOR22
UBTF	UBF,UBF1,NOR-90,UBF2
TBC1D13	FLJ10743
KCNK9	TASK3,TASK-3,K2p9.1
ANKRD13A	NY-REN-25,ANKRD13
LHX6	LHX6.1
REC8	kleisin-alpha,Rec8p,REC8L1
DCAKD	FLJ22955
CDK7	CDKN7,MO15,STK1,CAK1,CAK
ZIC1	ZNF201,ZIC
PHF8	JHDM1F,KDM7B,KIAA1111,ZNF422
ARHGEF15	KIAA0915,Vsm-RhoGEF,MGC44868,ARGEF15,FLJ13791
KDM7A	JHDM1D,KIAA1718
MT-ND6	ND6,MTND6,NAD6
KRTAP17-1	KAP17.1
DQX1	FLJ23757
HEYL	HEY3,bHLHb33,HESR3
VAPA	VAP-A,hVAP-33
MRGPRX2	MRGX2
PMP2	M-FABP,FABP8,MP2
ARPC3	ARC21,p21-Arc
DHDDS	hCIT,RP59,DS,HDS,FLJ13102
C15orf39	DKFZP434H132,FLJ46337
C7orf73	STMP1
KRTAP13-1	KAP13.1
TYR	OCA1,OCAIA,OCA1A
KLKB1	KLK3
VEGFB	VEGFL,VRF
WSCD1	KIAA0523
SLC28A1	CNT1
ZNF592	SCAR5,CAMOS,KIAA0211
ACTRT1	AIP1,KIAA0705,Arp-T1,ARIP1
SUFU	SUFUXL,PRO1280,SUFUH
MAP2K5	PRKMK5,HsT17454,MAPKK5,MEK5
NHEJ1	XLF,FLJ12610,Cernunnos
HMGB3	HMG4,HMG2A,MGC90319
SPR	SDR38C1
CCL20	SCYA20,ST38,exodus-1,LARC,CKb4,MIP-3a
BCO2	BCDO2,B-DIOX-II,FLJ34464
C14orf2	ATP5MPL
ZNF284	DKFZp781F1775
SMIM24	HSPC323,C19orf77
HMGN2	HMG17
KRTAP10-10	KAP18.10,KRTAP18-10,KAP10.10
APTX	FLJ20157,EOAHA,EAOH,AOA,AOA1,AXA1
SLC7A13	AGT-1,XAT2
C22orf23	LOC84645,FLJ32787,EVG1
RBL2	Rb2,p130
DCAF12	WDR40A,TCC52,MGC1058,DKFZP434O125,KIAA1892,CT102
HGF	DFNB39,F-TCF,SF,HPTA,HGFB
MIB1	ZZANK2,DIP-1,MIB,KIAA1323,ZZZ6
PMS1	PMSL1,MLH2
ULK2	Unc51.2,ATG1B,KIAA0623
EEFSEC	SELB,EFSEC
MYO16	MYR8,PPP1R107,Myo16b,KIAA0865,NYAP3
GDF5OS	GDF5-AS1
PPP1R15A	GADD34
MTMR2	CMT4B,KIAA1073
FAM196B	C5orf57,INSYN2B
FBXW10	SM2SH2,Fbw10,C17orf1,HREP,C17orf1A
RPLP1	LP1
FBXW7	AGO,SEL10,SEL-10,FBX30,CDC4,FBW7,FLJ11071,FBXW6
ASB2	ASB-2
FKBP3	FKBP25,FKBP-25
PLEKHM2	KIAA0842
AKAP8	AKAP95,DKFZp586B1222
RIMS2	RAB3IP3,KIAA0751,RIM2,OBOE
PGAP2	CWH43-N,MRT17,FRAG1,MRT21
IER5L	bA247A12.2
ATP13A5	FLJ16025
MAMSTR	FLJ36070,MASTR
MOV10	gb110,fSAP113,MGC2948
RNF146	DKFZp434O1427,dactylidin,dJ351K20.1
DLG3	PPP1R82,MRX90,NEDLG,NE-Dlg,SAP102,SAP-102,KIAA1232
NME8	TXNDC3,CILD6,NM23-H8,SPTRX2
CCDC142	FLJ14397
SMAD3	HsT17436,MADH3,JV15-2
SNX27	KIAA0488,MGC20471,MY014
POLR1E	FLJ13390,FLJ13970,PAF53,PRAF1,RPA49
CHGB	SgI,SCG1
IFNA8	IFN-alphaB
MYH8	MyHC-pn,MyHC-peri
HFL3	CFHL2,CFHR2
KBTBD2	DKFZP566C134,BKLHD1
STAU1	STAU,PPP1R150
DNM3	KIAA0820
KLK9	KLK-L3
ZC3H12D	C6orf95,MCPIP4,dJ281H8.1
SPATA7	LCA3,HSD3
COA6	C1orf31
C21orf91	EURL,C21orf38,CSSG1,YG81,C21orf14
YIF1B	FinGER8
RP9	PAP-1
GRIN2A	NMDAR2A,GluN2A
PRRG4	TMG4
SEMA3G	sem2,FLJ00014
CAMK1G	dJ272L16.1,VWS1,CLICKIII
CHRAC1	YCL1,CHRAC15
GCNT3	C2GnT2,C2/4GnT,C2GnT-M
TFDP1	DILC,DRTF1,Dp-1,DP1
MT-ND4	ND4,NAD4,LHON,MTND4
ADIPOQ	ACDC,ACRP30,apM1,adiponectin,GBP28
ACTC1	ACTC,CMD1R
SLC27A4	FATP4,ACSVL4
VSTM5	LOC387804,C11orf90
RUNX1T1	AML1T1,MTG8,ZMYND2,ETO,CDR,CBFA2T1
VCX3B	VCX-C
TBC1D2B	KIAA1055
FAM71F1	FAM137A,NYD-SP18
MAP3K14	HSNIK,NIK,FTDCR1B,HS
CLIC6	CLIC1L,CLIC5
HEBP1	HEBP,HBP
GLDN	CRG-L2,colmedin,CLOM,UNC-122,COLM
RNF219	OBI1,C13orf7
ITGA11	HsT18964
NSMCE2	C8orf36,ZMIZ7,NSE2,FLJ32440,MMS21
MLLT11	AF1Q
FOXD4	FKHL9,FREAC5,FOXD4a
STARD9	KIF16A,KIAA1300
SH3RF2	FLJ23654,Hepp1,POSHER,RNF158,PPP1R39
ZNF112	ZFP112,ZNF228
CCDC153	LOC283152
CLU	CLU1,KUB1,SGP-2,APOJ,CLU2,SP-40,CLI,TRPM-2
HOXC10	HOX3I
RC3H2	FLJ20301,RNF164,FLJ20713,MNAB
RRAS	R-Ras
NLGN3	AUTSX1,HNL3,ASPGX1,KIAA1480
RANBP2	NUP358,ANE1,ADANE
MKL2	MRTFB
SEMA4C	Semacl1,Semaf,SEMAI
MYADML2	LOC255275
PSD3	DKFZp761K1423,EFA6D,HCA67,KIAA0942,EFA6R
SIMC1	OOMA1,PLEIAD,FLJ44216,C5orf25
ABLIM3	KIAA0843
RANGRF	HSPC165,MOG1,HSPC236,RANGNRF
EDAR	ED5,DL,ED3,EDA1R,EDA3,ED1R
SCN8A	MED,PN4,CerIII,Nav1.6,NaCh6,CIAT
CDIP1	CDIP,LITAFL,C16orf5
LSM11	FLJ38273
DNASE2B	DLAD
RHO	RP4,OPN2,CSNBAD1
ZNF695	SBZF3
BRINP3	DBCCR1L1,DBCCR1L,FAM5C
GDF15	MIC-1,PTGFB,NAG-1,PDF,PLAB,MIC1
SYAP1	PRO3113,FLJ14495
AHR	bHLHe76
ZNF107	ZFD25,ZNF588,smap-7
PRRG2	PRGP2
SPATA16	NYD-SP12
STAT1	ISGF-3,STAT91
PCSK2	SPC2,NEC2,PC2
TSPAN17	FBXO23,FBX23,TM4SF17
DLEU1	XTP6,DLB1,LINC00021,LEU1,BCMS,NCRNA00021,BCMS1
TNFAIP1	B61,B12,BTBD34,MGC2317,EDP1
IFNA16	IFN-alphaO
WBSCR28	TMEM270
ARID4A	RBP-1,RBP1,RBBP1
COG3	SEC34
PPIL1	CYPL1
ITPRIPL2	FLJ22994,LOC162073,MGC126800,MGC126798
TLE6	GRG6,FLJ14009
DCST2	FLJ32934
TAF1B	RAF1B,TAFI63,SL1,RAFI63
GBP7	FLJ38822,GBP4L
PALM	KIAA0270,PALM1
WDR49	FLJ33620
LYPD5	FLJ30469
C9orf117	CFAP157
ACP1	LMW-PTP,LMWPTP,HAAP
FAIM3	FCMR
MBD6	KIAA1887
ZNF416	FLJ20557
LRRN2	LRANK1,LRRN5,GAC1,FIGLER7
C14orf80	TEDC1
AGPAT1	LPAAT-alpha
ALAD	ALADH,PBGS
DCX	DC,LISX,SCLH,XLIS,DBCN
PRAME	MAPE,CT130
SLC10A3	P3,DXS253E
RC3H1	RNF198,roquin,KIAA2025,RP5-1198E17.5
EXD1	MGC33637,EXDL1
NAA30	MAK3,Mak3p,NAT12,FLJ35355,C14orf35
COL14A1	UND
MID1	FXY,RNF59,TRIM18,OS
UBASH3A	TULA,STS-2,CLIP4
QSOX2	QSCN6L1,SOXN,DKFZp762A2013
MRPL43	bMRP36a
TMEM99	MGC21518
HMSD	C18orf53,ACC-6,ACC6
TRMT5	KIAA1393,TRM5
PDGFC	SCDGF,fallotein
RAB39B	WSN,MRX72
MFSD6	FLJ20160
TRMT12	TYW2,Trm12,FLJ20772
NUP153	HNUP153
MAP7D3	FLJ12649
CT45A4	CT45-4,CT45.4
PCDHB14	PCDH-BETA14
OR14A16	OR5AT1
ADTRP	C6orf105,dJ413H6.1,AIG1L
ERO1LB	ERO1B
NPAS4	bHLHe79,Le-PAS,PASD10,NXF
KEL	CD238,ECE3
HLX	HLX1,HB24
ETNK2	EKI2,FLJ10761
CPT1C	CATL1,CPT1P,FLJ23809,CPTIC
CDC27	D17S978E,APC3,NUC2,D0S1430E,ANAPC3
WDR60	DYNC2I1
AADACL3	OTTHUMG00000001887
ZNF146	OZF
TMEM62	FLJ23375
RPL39L	RPL39L1
TCEB1	ELOC
INSL3	RLF,RLNL,MGC119819,MGC119818
CNIH1	CNIH,CNIL,TGAM77
HIGD1B	CLST11240-15,CLST11240
XBP1	XBP2
OSGIN1	BDGI,OKL38
TRIM7	GNIP,RNF90
GTF3C2	TFIIIC110,KIAA0011
RAET1E	LETAL,ULBP4,bA350J20.7
ZP2	ZPA
MAPK14	Mxi2,p38,PRKM15,CSBP1,PRKM14,CSBP2,CSPB1
CDNF	ARMETL1
ALDH18A1	PYCS,GSAS,SPG9,P5CS
IGSF21	MGC15730,RP11-121A23.1
WBP5	TCEAL9
DHRSX	SDR7C6,DHRSY,DHRS5X,DHRSXY,DHRS5Y,SDR46C1
SOHLH2	TEB1,bHLHe81,FLJ20449,SPATA28
PACS2	PACS1L,KIAA0602
SLC1A3	EAAT1,GLAST,EA6
TM6SF2	Lpr4
MAGI2	MAGI-2,AIP1,ARIP1,KIAA0705,ACVRIP1
ING1	p33ING1b,p33,p33ING1,p47,p24ING1c,p47ING1a
EGR1	ZIF-268,KROX-24,NGFI-A,AT225,TIS8,G0S30,ZNF225
KCNJ10	Kir4.1,Kir1.2
SSR1	TRAPA
MMAB	CFAP23,cblB
DAPK3	ZIP,ZIPK
DDX60	FLJ20035
LRIT2	AC022389.4,LRRC22
C1QTNF6	CTRP6,ZACRP6
CLEC4D	MCL,Mpcl,CD368,CLECSF8,Dectin-3
C16orf78	MGC33367
RITA1	FLJ14827,C12orf52,RITA
TUBGCP5	GCP5,KIAA1899
N6AMT1	MTQ2,PrmC,C21orf127,N6AMT,KMT9,HEMK2,PRED28
CEBPD	CELF,NF-IL6-beta,C/EBP-delta,CRP3
PRRX2	PRX2,PMX2
TEX33	C22orf33,EAN57,MGC35206
SLC4A10	NBCn2,NCBE
PACRGL	MGC29898,C4orf28
CSF1R	C-FMS,FMS,CSFR,CD115
FAM9A	TEX39A
PI16	MGC45378,dJ90K10.5,CD364,MSMBBP
TG	AITD3,TGN
TCP11L1	FLJ11336
SRA1	SRA,STRAA1
FAM220A	SIPAR,MGC12966,C7orf70,ACPIN1
CUTC	CGI-32
SET	TAF-IBETA,2PP2A,IGAAD,TAF-I,IPP2A2,PHAPII
FUCA2	MGC1314,dJ20N2.5
ANKRD36C	DKFZp667P0924
RHAG	SLC42A1,RH50A,CD241
ZNF711	ZNF4,MRX97,dJ75N13.1,MRX65,ZNF6,Zfp711,ZNF5,CMPX1
TATDN2	KIAA0218
RTP3	LTM1,TMEM7,Z3CXXC3
USP31	KIAA1203
GSTM2	GST4
TUBGCP2	Spc97p,GCP2,SPBC97
TRNP1	TRNP,C1orf225
MUC7	MG2,FLJ27047
IL26	AK155,IL-26
TSGA10IP	FLJ32880,FAM161C
C17orf96	EPOP
ATP8B4	KIAA1939,ATPIM
SYNPO	KIAA1029
HRK	DP5
DSCAML1	KIAA1132
GAGE12H	OTTHUMG00000024149
RDH11	ARSDR1,MDT1,SDR7C1
ZFAND2A	AIRAP
NCAM1	CD56,NCAM
AQP9	HsT17287,SSC1
TMPRSS13	MSPL,TMPRSS11,MSPS
NOC3L	FAD24,AD24,FLJ12820,C10orf117
PSMB8	LMP7,beta5i,PSMB5i,RING10,D6S216E
APOBEC3G	CEM15,FLJ12740,dJ494G10.1,bK150C2.7,MDS019
ACTRT2	FLJ25424,ARPM2,Arp-T2
FXYD2	HOMG2,ATP1G1,MGC12372
HSD17B11	17-BETA-HSD11,SDR16C2,DHRS8,RetSDR2,17-BETA-HSDXI,PAN1B
BBC3	PUMA,JFY1
ZNF584	FLJ39899
ZNF444	FLJ11137,EZF2,ZSCAN17
OPRM1	MOR1
SSX2IP	hMsd1
TRPA1	ANKTM1
GLI3	PAPB,PPDIV,PAPA1,PHS,GCPS,PAPA,PAP-A,ACLS
PRSS3P2	TRY6
SEMA6A	SEMA6A1,HT018,SEMAQ,SEMA,KIAA1368
CEACAM8	CGM6,CD66b
TRMT13	CCDC76,FLJ11219,FLJ10287
CCDC167	C6orf129,dJ153P14.2
AQR	IBP160,KIAA0560,fSAP164
ZNF230	FDZF2
TBC1D22A	C22orf4
FAAH	FAAH-1
PEX11A	PEX11-ALPHA,MGC138534,MGC119947
ACKR1	FY,GPD,CCBP1,Dfy,DARC,CD234
HRASLS5	PLAAT5
COQ10B	FLJ13448
OR10P1	OR10P2P,OST701,OR10P3P,OR10P1P
TMCO5A	MGC35118,TMCO5
WDR27	MGC43690
NABP2	hSSB1,MGC2731,SSB1,SOSS-B1,OBFC2B
SSC4D	S4D-SRCRB,SRCRB-S4D,SRCRB4D
PAQR9	FLJ41938
DYNLL2	MGC17810,Dlc2,DNCL1B,RSPH22
CLEC2L	FLJ32986
ZNF160	HKr18,HZF5,F11,FLJ00032,KIAA1611,KR18
NRIP3	C11orf14
ATG16L1	ATG16A,ATG16L,FLJ10035,WDR30,APG16L
TTF2	HuF2,ZGRF6
ATCAY	BNIP-H
PHF12	PF1,KIAA1523
GCDH	ACAD5
CPA6	CPAH
KRT72	K6IRS2,KRT6,KRT6IRS2,K6irs
KRTAP4-4	KAP4.4,KRTAP4-13,KAP4.13
UBIAD1	SCCD,TERE1
ZSCAN31	ZNF310P,ZNF323
EIF4EBP1	4E-BP1,PHAS-I
VANGL2	LPP1,MGC119404,STB1,KIAA1215,LTAP,STBM1,STBM,MGC119403
SERPINB3	SCCA1,HsT1196,T4-A,SCC
EVA1A	TMEM166,FLJ13391,FAM176A
RSRP1	C1orf63,DJ465N24.2.1
SPTBN5	HUBSPECV,BSPECV,HUSPECV
XRN1	SEP1
KIF17	OSM-3,KLP-2,KIF3X,KIF17B,KIAA1405
UHMK1	Kist,KIS
SULT1C2	ST1C1,SULT1C1
RNF111	Arkadia,FLJ38008,DKFZP761D081,ARK
NFX1	MGC20369,TEG-42,NFX2,Tex42
EML3	ELP95,FLJ35827
LSM6	YDR378C
XAGE1A	XAGE1,CT12.1a,GAGED2,XAGE-1
HIP1	ILWEQ
KDM4D	JMJD2D,FLJ10251
MAP7D1	RPRC1,FLJ10350,FLJ39022,PARCC1
SPOCK1	testican-1,SPOCK,TIC1
SPSB2	SSB-2,GRCC9
LBR	TDRD18,DHCR14B
SLC25A53	MCART6
CCDC54	NYD-SP17,SP17,FLJ25362
SRD5A3	FLJ13352,SRD5A2L,SRD5A2L1
PDIA3	P58,PI-PLC,ERp61,ERp57,HsT17083,GRP57,ERp60,GRP58
GRM8	GPRC1H,GLUR8,mGlu8,MGLUR8
MYO9A	MGC71859,FLJ11061,FLJ13244
GPR141	PGR13
SPINK7	ECG2,ECRG2
FRMD5	MGC14161
PSMC3IP	GT198,TBPIP,Hop2,HUMGT198A
C1QL2	CTRP10,C1QTNF10
DEFB4A	HBD-2,DEFB4,DEFB-2,DEFB102,DEFB2,SAP1
NDC1	NET3,TMEM48,FLJ10407
TMEM263	MGC17943,C12orf23
BNC1	HsT19447,BNC
CLDN24	CLDN21
SLC25A32	MFTC
FKBP15	FKBP133,PPP1R76,KIAA0674,WAFL
CLTCL1	CHC22,CLH22,CLTCL,CLTD
PYROXD2	C10orf33,FLJ23849
OR8G5	OR8G5P,OR8G6
EPM2AIP1	FLJ11207,KIAA0766
WNK3	PRKWNK3
NONO	P54,P54NRB,NMT55,NRB54,PPP1R114
CYP26B1	P450RAI-2
FAP	DPPIV
FRMD8	FKSG44,FLJ90369,iTAP
HCFC1R1	HPIP,FLJ20568
PPP1R1B	FLJ20940,DARPP-32
RPAP3	FLJ21908,hSpagh,spag,Tah1
CD55	DAF,CROM,CR,TC
SFXN1	SLC56A1,FLJ12876
CYP2W1	MGC34287,FLJ20359
MATK	Lsk,MGC1708,CTK,DKFZp434N1212,CHK,HYL,MGC2101,HYLTK,HHYLTK
CCDC168	FLJ40176,C13orf40
KPNA2	IPOA1,RCH1,SRP1alpha,QIP2
SUSD5	KIAA0527
HIST1H2BD	H2BFB,H2BC5
LDOC1	RTL7,Mart7,SIRH7,BCUR1,Mar7
POTEH	ACTBL1,A26C3,POTE22,CT104.7
FAM32A	DKFZP586O0120,OTAG-12
SLC25A14	UCP5,BMCP1
JAGN1	GL009,FLJ14602
TAS2R19	TAS2R23,T2R19,T2R23,TAS2R48
CHCHD2	MIX17B,MNRR1,C7orf17
TES	TESTIN,DKFZP586B2022,TESS-2
SLN	MGC125855,MGC125854,MGC12301
C7orf34	LLCFC1
RGPD8	RanBP2alpha,RANBP2L1
LRRC37A3	KIAA0563,FLJ34306
KIAA1377	CEP126
DDX21	RH-II/GU,GURDB
TTC21B	FAP60,NPHP12,FLJ11457,FLA17,JBTS11,IFT139B,THM1
NR3C1	GR,GRL
DEFA6	DEF6,HD-6
NYAP1	KIAA1486L,C7orf51,FLJ37538
CHST2	C6ST
C19orf12	MPAN,NBIA4,DKFZP762D096,MGC10922,SPG43
GATA3	HDR
ORAI1	TMEM142A,CRACM1,FLJ14466
ZNF682	BC39498_3
CD44	CD44R,MIC4,MDU2,HCELL,CSPG8,Pgp1,MDU3,IN,MC56
ZNF69	Cos5
DYX1C1	DNAAF4
VCX2	VCX-2r,VCX-2R
SH2D6	FLJ35993
DNAJB11	HEDJ,EDJ,ERdj3
SF3B6	Ht006,CGI-110,SAP14a,SF3B14a,P14
LYSMD3	FLJ13542
SPTLC3	FLJ11112,LCB2B,hLCB2b,C20orf38,SPTLC2L
RXRG	NR2B3
MZT2B	FAM128B,FLJ14346,MOZART2B
SZT2	FLJ10387,SZT2B,SZT2A,RP11-506B15.1,C1orf84,KIAA0467,FLJ34502
RCCD1	MGC14386
DNAJC5B	MGC26226,CSP-beta
RPL36A	L36A,RPL44
ADCY9	AC9
PABPC1L	PABPC1L1,ePAB,dJ1069P2.3,C20orf119
CCDC65	FLJ35732,CFAP250,DRC2,NYD-SP28,FAP250,CILD27
SLC38A3	G17,SN1
CIART	CHRONO,BC017397,C1orf51
OTC	OTCase
TTLL12	KIAA0153
TRIM55	MURF-2,RNF29
GOLGA2	golgin-95,GM130
MED14	CSRP,RGR1,CRSP2,CXorf4,TRAP170,EXLM1,CRSP150
SLC29A1	ENT1
